tick,mean,min,max,medium
0,-0.3333241143957091,-0.9803439906769437,0.17931415166731338,-0.32362741154782565
1,-0.09084417113395532,-0.9793476263978885,0.17994851716060928,0.044860232623119764
2,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
3,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
4,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
5,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
6,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
7,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
8,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
9,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
10,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
11,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
12,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
13,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
14,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
15,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
16,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
17,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
18,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
19,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
20,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
21,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
22,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
23,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
24,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
25,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
26,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
27,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
28,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
29,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
30,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
31,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
32,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
33,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
34,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
35,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
36,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
37,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
38,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
39,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
40,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
41,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
42,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
43,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
44,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
45,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
46,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
47,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
48,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
49,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
50,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
51,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
52,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
53,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
54,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
55,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
56,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
57,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
58,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
59,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
60,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
61,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
62,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
63,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
64,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
65,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
66,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
67,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
68,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
69,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
70,0.09035750571485131,0.00039407977377986525,0.17994851716060928,0.08974150906762154
